episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,predator_a_action,predator_b_action
47,406,13,-1.0,-13.0,chase_x,4,1
47,407,14,-1.0,-14.0,chase_x,2,0
47,408,15,-1.0,-15.0,chase_x,2,2
47,409,16,-1.0,-16.0,chase_x,1,0
47,410,17,-1.0,-17.0,chase_x,1,1
47,411,18,-1.0,-18.0,chase_x,2,3
47,412,19,-1.0,-19.0,chase_x,1,3
47,413,20,99.0,80.0,chase_x,4,0
48,414,1,-1.0,-1.0,chase_x,1,2
48,415,2,-1.0,-2.0,chase_x,1,2
48,416,3,-1.0,-3.0,chase_x,4,2
48,417,4,-1.0,-4.0,chase_x,1,2
48,418,5,-1.0,-5.0,chase_x,4,2
48,419,6,-1.0,-6.0,chase_x,1,2
48,420,7,-1.0,-7.0,chase_x,1,2
48,421,8,-1.0,-8.0,chase_x,3,3
48,422,9,-1.0,-9.0,chase_x,1,3
48,423,10,-1.0,-10.0,chase_x,1,1
48,424,11,99.0,89.0,chase_x,4,2
49,425,1,-1.0,-1.0,chase_x,1,1
49,426,2,-1.0,-2.0,chase_x,1,1
49,427,3,-1.0,-3.0,chase_x,3,1
49,428,4,-1.0,-4.0,chase_x,1,1
49,429,5,-1.0,-5.0,chase_x,3,3
49,430,6,-1.0,-6.0,chase_x,3,1
49,431,7,-1.0,-7.0,chase_x,3,3
49,432,8,-1.0,-8.0,chase_x,1,3
49,433,9,-1.0,-9.0,chase_x,4,1
49,434,10,-1.0,-10.0,chase_x,4,1
49,435,11,-1.0,-11.0,chase_x,2,1
49,436,12,-1.0,-12.0,chase_x,2,3
49,437,13,99.0,87.0,chase_x,4,4
50,438,1,-1.0,-1.0,chase_x,3,3
50,439,2,-1.0,-2.0,chase_x,3,3
50,440,3,-1.0,-3.0,chase_x,3,3
50,441,4,-1.0,-4.0,chase_x,3,1
50,442,5,-1.0,-5.0,chase_x,2,1
50,443,6,-1.0,-6.0,chase_x,2,1
50,444,7,-1.0,-7.0,chase_x,4,1
50,445,8,-1.0,-8.0,chase_x,2,3
50,446,9,-1.0,-9.0,chase_x,4,3
50,447,10,99.0,90.0,chase_x,2,3
51,448,1,-1.0,-1.0,chase_x,4,1
51,449,2,-1.0,-2.0,chase_x,4,1
51,450,3,-1.0,-3.0,chase_x,4,3
51,451,4,-1.0,-4.0,chase_x,4,4
51,452,5,99.0,95.0,chase_x,1,4
52,453,1,-1.0,-1.0,chase_x,2,2
52,454,2,-1.0,-2.0,chase_x,4,1
52,455,3,-1.0,-3.0,chase_x,4,2
52,456,4,-1.0,-4.0,chase_x,4,0
52,457,5,99.0,95.0,chase_x,4,0
53,458,1,-1.0,-1.0,chase_x,2,2
53,459,2,-1.0,-2.0,chase_x,2,2
53,460,3,-1.0,-3.0,chase_x,4,3
53,461,4,-1.0,-4.0,chase_x,3,3
53,462,5,-1.0,-5.0,chase_x,4,2
53,463,6,-1.0,-6.0,chase_x,4,3
53,464,7,-1.0,-7.0,chase_x,4,2
53,465,8,-1.0,-8.0,chase_x,1,2
53,466,9,-1.0,-9.0,chase_x,4,3
53,467,10,-1.0,-10.0,chase_x,4,3
53,468,11,-1.0,-11.0,chase_x,1,2
53,469,12,-1.0,-12.0,chase_x,1,0
53,470,13,99.0,87.0,chase_x,4,0
54,471,1,-1.0,-1.0,chase_x,4,4
54,472,2,-1.0,-2.0,chase_x,2,4
54,473,3,-1.0,-3.0,chase_x,2,1
54,474,4,-1.0,-4.0,chase_x,2,2
54,475,5,-1.0,-5.0,chase_x,2,3
54,476,6,-1.0,-6.0,chase_x,2,4
54,477,7,-1.0,-7.0,chase_x,4,0
54,478,8,99.0,92.0,chase_x,3,1
55,479,1,-1.0,-1.0,chase_x,3,3
55,480,2,-1.0,-2.0,chase_x,3,3
55,481,3,-1.0,-3.0,chase_x,2,3
55,482,4,-1.0,-4.0,chase_x,2,3
55,483,5,-1.0,-5.0,chase_x,4,3
55,484,6,-1.0,-6.0,chase_x,1,0
55,485,7,-1.0,-7.0,chase_x,1,1
55,486,8,-1.0,-8.0,chase_x,4,2
55,487,9,99.0,91.0,chase_x,4,0
56,488,1,-1.0,-1.0,chase_x,1,4
56,489,2,-1.0,-2.0,chase_x,1,4
56,490,3,-1.0,-3.0,chase_x,1,4
56,491,4,-1.0,-4.0,chase_x,1,4
56,492,5,-1.0,-5.0,chase_x,3,1
56,493,6,-1.0,-6.0,chase_x,3,1
56,494,7,-1.0,-7.0,chase_x,3,4
56,495,8,-1.0,-8.0,chase_x,3,1
56,496,9,-1.0,-9.0,chase_x,2,4
56,497,10,-1.0,-10.0,chase_x,3,1
56,498,11,-1.0,-11.0,chase_x,2,2
56,499,12,-1.0,-12.0,chase_x,2,0
56,500,13,-1.0,-13.0,chase_y,3,3
56,501,14,-1.0,-14.0,chase_y,3,2
56,502,15,-1.0,-15.0,chase_y,3,3
56,503,16,-1.0,-16.0,chase_y,1,3
56,504,17,-1.0,-17.0,chase_y,4,3
56,505,18,-1.0,-18.0,chase_y,4,3
56,506,19,-1.0,-19.0,chase_y,1,2
56,507,20,-1.0,-20.0,chase_y,1,3
56,508,21,-1.0,-21.0,chase_y,4,2
56,509,22,-1.0,-22.0,chase_y,1,3
56,510,23,-1.0,-23.0,chase_y,4,2
56,511,24,-1.0,-24.0,chase_y,1,4
56,512,25,-1.0,-25.0,chase_y,1,1
56,513,26,99.0,74.0,chase_y,1,1
57,514,1,-1.0,-1.0,chase_y,2,3
57,515,2,-1.0,-2.0,chase_y,4,3
57,516,3,-1.0,-3.0,chase_y,1,3
57,517,4,-1.0,-4.0,chase_y,4,3
57,518,5,-1.0,-5.0,chase_y,4,3
57,519,6,-1.0,-6.0,chase_y,4,3
57,520,7,-1.0,-7.0,chase_y,4,0
57,521,8,-1.0,-8.0,chase_y,4,0
57,522,9,-1.0,-9.0,chase_y,4,0
57,523,10,99.0,90.0,chase_y,4,0
58,524,1,-1.0,-1.0,chase_y,2,2
58,525,2,-1.0,-2.0,chase_y,2,2
58,526,3,-1.0,-3.0,chase_y,2,2
58,527,4,-1.0,-4.0,chase_y,4,2
58,528,5,-1.0,-5.0,chase_y,4,2
58,529,6,-1.0,-6.0,chase_y,4,2
58,530,7,99.0,93.0,chase_y,2,2
59,531,1,-1.0,-1.0,chase_y,4,4
59,532,2,-1.0,-2.0,chase_y,4,4
59,533,3,-1.0,-3.0,chase_y,2,0
59,534,4,99.0,96.0,chase_y,3,2
60,535,1,-1.0,-1.0,chase_y,4,1
60,536,2,-1.0,-2.0,chase_y,4,1
60,537,3,-1.0,-3.0,chase_y,4,4
60,538,4,-1.0,-4.0,chase_y,4,4
60,539,5,-1.0,-5.0,chase_y,1,1
60,540,6,-1.0,-6.0,chase_y,2,4
60,541,7,-1.0,-7.0,chase_y,2,4
60,542,8,99.0,92.0,chase_y,2,2
61,543,1,-1.0,-1.0,chase_y,1,1
61,544,2,-1.0,-2.0,chase_y,1,1
61,545,3,-1.0,-3.0,chase_y,1,1
61,546,4,-1.0,-4.0,chase_y,3,1
61,547,5,-1.0,-5.0,chase_y,3,1
61,548,6,99.0,94.0,chase_y,3,1
62,549,1,-1.0,-1.0,chase_y,2,3
62,550,2,-1.0,-2.0,chase_y,2,3
62,551,3,-1.0,-3.0,chase_y,2,1
62,552,4,-1.0,-4.0,chase_y,2,3
62,553,5,-1.0,-5.0,chase_y,4,3
62,554,6,-1.0,-6.0,chase_y,4,1
62,555,7,-1.0,-7.0,chase_y,4,3
62,556,8,-1.0,-8.0,chase_y,2,2
62,557,9,-1.0,-9.0,chase_y,4,2
