episode,opsdemo_reward,response_policy_accuracy,baseline_reward
383,93.0,1.0,84.0
384,98.0,1.0,93.0
385,90.0,1.0,94.0
386,92.0,1.0,88.0
387,81.0,0.3157894736842105,98.0
388,92.0,1.0,87.0
389,86.0,1.0,93.0
390,86.0,1.0,84.0
391,93.0,1.0,91.0
392,97.0,1.0,98.0
393,96.0,1.0,92.0
394,97.0,1.0,95.0
395,94.0,1.0,90.0
396,96.0,1.0,82.0
397,98.0,1.0,89.0
398,94.0,1.0,95.0
399,95.0,1.0,97.0
400,80.0,0.75,82.0
401,91.0,1.0,97.0
402,97.0,1.0,94.0
403,92.0,1.0,96.0
404,93.0,1.0,89.0
405,88.0,1.0,90.0
406,92.0,1.0,94.0
407,90.0,1.0,97.0
408,90.0,1.0,88.0
409,90.0,1.0,90.0
410,94.0,1.0,89.0
411,88.0,0.5833333333333334,89.0
412,95.0,1.0,91.0
413,95.0,1.0,88.0
414,76.0,1.0,93.0
415,89.0,1.0,92.0
416,90.0,1.0,96.0
417,91.0,1.0,90.0
418,92.0,1.0,87.0
419,88.0,1.0,88.0
420,78.0,0.6470588235294118,91.0
421,91.0,1.0,77.0
422,90.0,1.0,97.0
423,94.0,1.0,89.0
424,95.0,1.0,95.0
425,94.0,1.0,89.0
426,92.0,1.0,93.0
427,89.0,1.0,92.0
428,96.0,1.0,90.0
429,98.0,1.0,94.0
430,97.0,1.0,94.0
431,95.0,1.0,97.0
432,92.0,1.0,95.0
433,95.0,1.0,92.0
434,79.0,0.7619047619047619,90.0
435,91.0,1.0,94.0
436,94.0,1.0,95.0
437,95.0,1.0,96.0
438,94.0,1.0,92.0
439,91.0,1.0,91.0
440,97.0,1.0,95.0
441,88.0,1.0,90.0
442,97.0,1.0,91.0
443,99.0,1.0,88.0
444,94.0,1.0,86.0
445,93.0,1.0,90.0
446,89.0,1.0,92.0
447,94.0,1.0,88.0
448,81.0,0.7368421052631579,89.0
449,96.0,1.0,90.0
450,86.0,1.0,92.0
451,92.0,1.0,94.0
452,95.0,1.0,90.0
453,88.0,1.0,98.0
454,95.0,1.0,95.0
455,89.0,1.0,88.0
456,97.0,1.0,93.0
457,96.0,1.0,98.0
458,97.0,1.0,91.0
459,90.0,1.0,94.0
460,74.0,0.76,91.0
461,87.0,1.0,98.0
462,87.0,1.0,91.0
463,95.0,1.0,91.0
464,90.0,1.0,90.0
465,95.0,1.0,90.0
466,91.0,1.0,94.0
467,89.0,1.0,86.0
468,94.0,1.0,91.0
469,94.0,1.0,96.0
470,93.0,0.42857142857142855,92.0
471,81.0,0.14285714285714285,92.0
472,97.0,1.0,89.0
473,93.0,1.0,93.0
474,89.0,1.0,92.0
