episode,global_step,from_policy,to_policy,true_policy,normalized_error
222,8473,attack,detour,detour,1.6434099674224854
222,8492,detour,detour,attack,0.48090022802352905
222,8510,detour,detour,attack,0.26311925053596497
223,8531,detour,detour,attack,0.6366748809814453
223,8572,detour,detour,attack,0.33871936798095703
224,8585,detour,attack,attack,0.6264458894729614
224,8640,attack,direct,direct,2.0688772201538086
227,8682,direct,direct,direct,0.16204223036766052
231,8723,direct,detour,direct,0.7516583204269409
233,8739,detour,direct,direct,0.8738983869552612
235,8773,direct,attack,direct,0.6392998099327087
236,8800,attack,attack,detour,0.5652307271957397
236,8860,attack,attack,detour,0.22734788060188293
236,8874,attack,detour,detour,2.155021905899048
236,8882,detour,attack,detour,1.0974252223968506
236,8888,attack,attack,detour,0.6952649354934692
236,8895,attack,attack,detour,0.6359662413597107
236,8902,attack,detour,detour,1.5310211181640625
236,8911,detour,detour,detour,0.7601023316383362
236,8920,detour,direct,detour,1.5022203922271729
236,8928,direct,direct,detour,0.5225338935852051
236,8937,direct,direct,detour,0.5083012580871582
236,8946,direct,detour,detour,1.6178210973739624
236,8961,detour,attack,attack,1.3909746408462524
236,8975,attack,attack,attack,0.51822829246521
236,9033,attack,attack,attack,0.287710964679718
236,9066,attack,attack,attack,0.11052307486534119
236,9123,attack,detour,direct,1.3101065158843994
236,9148,detour,detour,direct,0.47550609707832336
237,9182,detour,detour,direct,0.6983744502067566
238,9204,detour,attack,direct,1.102990746498108
240,9226,attack,direct,direct,0.6374822854995728
242,9245,direct,direct,direct,0.20916438102722168
243,9286,direct,attack,detour,0.3257298469543457
243,9315,attack,attack,detour,0.22760546207427979
243,9327,attack,detour,detour,2.229893922805786
243,9335,detour,detour,detour,1.4172441959381104
243,9343,detour,detour,detour,1.098854899406433
243,9353,detour,attack,detour,0.6830723881721497
243,9362,attack,detour,detour,1.3209679126739502
243,9375,detour,detour,detour,0.8436682820320129
243,9394,detour,detour,detour,0.5151568055152893
243,9405,detour,attack,detour,0.925384521484375
243,9417,attack,attack,detour,0.8654926419258118
243,9431,attack,detour,detour,0.781288206577301
243,9439,detour,attack,detour,1.0124154090881348
243,9451,attack,detour,attack,0.35213223099708557
244,9494,detour,attack,attack,0.5705844163894653
244,9563,attack,attack,attack,0.213718444108963
244,9602,attack,direct,direct,0.9158917665481567
244,9640,direct,direct,direct,0.46472224593162537
247,9690,direct,direct,direct,0.17869697511196136
248,9715,direct,detour,direct,0.6956843137741089
249,9724,detour,direct,direct,1.4636650085449219
251,9772,direct,direct,detour,0.12774187326431274
251,9821,direct,direct,detour,0.6239342093467712
251,9848,direct,direct,detour,0.6480454206466675
251,9857,direct,attack,detour,0.954217255115509
251,9863,attack,direct,detour,2.134398937225342
251,9880,direct,direct,detour,0.3098304569721222
251,9921,direct,attack,attack,2.250056266784668
251,9966,attack,attack,attack,0.21592596173286438
251,10010,attack,detour,attack,0.339801549911499
251,10038,detour,detour,attack,0.21039792895317078
251,10076,detour,detour,attack,0.40085768699645996
253,10105,detour,detour,direct,0.34209144115448
254,10137,detour,detour,direct,0.2748921513557434
257,10160,detour,detour,direct,0.2064460664987564
259,10211,detour,detour,direct,0.18231502175331116
260,10243,detour,direct,detour,0.729755163192749
261,10267,direct,attack,detour,0.663361668586731
261,10317,attack,direct,detour,1.333964467048645
261,10325,direct,direct,detour,0.5017854571342468
261,10342,direct,detour,detour,0.7646283507347107
261,10354,detour,attack,detour,0.6358007192611694
261,10364,attack,detour,detour,1.9365675449371338
261,10374,detour,attack,detour,0.9709593653678894
261,10384,attack,direct,detour,1.6421802043914795
261,10395,direct,detour,detour,1.7903496026992798
261,10409,detour,detour,attack,0.5553377270698547
262,10442,detour,attack,attack,0.6126807332038879
262,10512,attack,attack,attack,0.10875660181045532
262,10575,attack,attack,direct,0.17154884338378906
265,10615,attack,attack,direct,1.1274272203445435
267,10644,attack,attack,direct,0.18137957155704498
269,10684,attack,attack,direct,0.48903363943099976
271,10715,attack,attack,direct,0.18328164517879486
271,10758,attack,direct,detour,2.233142852783203
271,10789,direct,detour,detour,1.3504586219787598
271,10802,detour,detour,detour,0.48625168204307556
271,10827,detour,direct,detour,1.9091551303863525
271,10850,direct,direct,detour,0.27791011333465576
271,10871,direct,direct,detour,0.31105566024780273
271,10894,direct,direct,attack,0.2552843689918518
271,10925,direct,attack,attack,0.7325088977813721
