episode,global_step,episode_step,true_policy,new_assumed_policy
827,10071,8,chase_x,chase_x
828,10076,4,chase_x,chase_x
829,10081,4,chase_x,chase_y
829,10087,10,chase_x,chase_x
829,10092,15,chase_x,chase_y
829,10097,20,chase_x,chase_x
829,10101,24,chase_y,chase_x
829,10105,28,chase_y,chase_x
829,10109,32,chase_y,chase_x
829,10114,37,chase_y,chase_x
830,10120,3,chase_y,chase_x
830,10124,7,chase_y,chase_x
830,10129,12,chase_y,chase_y
831,10138,3,chase_y,chase_x
831,10142,7,chase_y,chase_y
831,10147,12,chase_y,chase_x
832,10153,6,chase_y,chase_x
832,10157,10,chase_y,chase_y
832,10161,14,chase_y,chase_x
833,10166,5,chase_y,chase_x
833,10175,14,chase_y,chase_x
833,10181,20,chase_y,chase_y
834,10187,4,chase_y,chase_x
834,10192,9,chase_y,chase_x
834,10196,13,chase_y,chase_y
834,10200,17,chase_x,chase_x
834,10210,27,chase_x,chase_x
835,10216,6,chase_x,chase_x
836,10223,3,chase_x,chase_x
836,10228,8,chase_x,chase_x
837,10239,6,chase_x,chase_x
839,10246,4,chase_x,chase_x
840,10255,9,chase_x,chase_x
841,10263,4,chase_x,chase_x
842,10270,6,chase_x,chase_x
842,10277,13,chase_x,chase_x
843,10284,7,chase_x,chase_y
843,10289,12,chase_x,chase_x
845,10301,5,chase_y,chase_y
845,10309,13,chase_y,chase_x
845,10314,18,chase_y,chase_x
845,10319,23,chase_y,chase_x
845,10323,27,chase_y,chase_x
845,10328,32,chase_y,chase_x
845,10332,36,chase_y,chase_y
846,10338,2,chase_y,chase_x
846,10343,7,chase_y,chase_x
846,10348,12,chase_y,chase_x
846,10353,17,chase_y,chase_y
848,10362,4,chase_y,chase_x
849,10368,3,chase_y,chase_x
849,10372,7,chase_y,chase_x
849,10376,11,chase_y,chase_x
849,10380,15,chase_y,chase_y
849,10390,25,chase_y,chase_x
849,10394,29,chase_y,chase_x
849,10398,33,chase_y,chase_x
850,10409,4,chase_x,chase_x
851,10417,3,chase_x,chase_x
851,10422,8,chase_x,chase_x
851,10426,12,chase_x,chase_x
852,10432,3,chase_x,chase_x
853,10440,6,chase_x,chase_x
854,10447,7,chase_x,chase_x
855,10458,3,chase_x,chase_x
856,10463,2,chase_x,chase_x
857,10472,9,chase_x,chase_x
858,10477,1,chase_x,chase_x
858,10482,6,chase_x,chase_y
858,10487,11,chase_x,chase_x
859,10492,2,chase_x,chase_x
860,10500,3,chase_y,chase_x
861,10505,4,chase_y,chase_x
863,10513,3,chase_y,chase_y
863,10517,7,chase_y,chase_x
864,10523,6,chase_y,chase_x
864,10527,10,chase_y,chase_y
865,10534,3,chase_y,chase_x
866,10538,4,chase_y,chase_y
866,10543,9,chase_y,chase_x
867,10547,4,chase_y,chase_x
867,10552,9,chase_y,chase_y
868,10560,4,chase_y,chase_x
868,10565,9,chase_y,chase_x
870,10573,1,chase_y,chase_x
870,10577,5,chase_y,chase_x
870,10583,11,chase_y,chase_y
871,10590,4,chase_y,chase_x
871,10594,8,chase_y,chase_x
871,10598,12,chase_y,chase_y
871,10602,16,chase_x,chase_x
872,10611,4,chase_x,chase_y
872,10615,8,chase_x,chase_x
872,10621,14,chase_x,chase_x
874,10632,1,chase_x,chase_x
874,10637,6,chase_x,chase_y
874,10642,11,chase_x,chase_x
875,10647,2,chase_x,chase_y
875,10651,6,chase_x,chase_x
876,10656,2,chase_x,chase_x
877,10667,4,chase_x,chase_x
877,10672,9,chase_x,chase_x
878,10679,7,chase_x,chase_x
881,10694,1,chase_x,chase_y
881,10703,10,chase_y,chase_x
881,10707,14,chase_y,chase_y
882,10714,2,chase_y,chase_x
882,10718,6,chase_y,chase_y
883,10728,7,chase_y,chase_x
883,10732,11,chase_y,chase_x
883,10736,15,chase_y,chase_y
883,10741,20,chase_y,chase_x
