episode,global_step,episode_step,reward,intruder_policy,winner,reason
8,252,37,-0.033381012678146346,detour,,running
8,253,38,-0.02712528914213179,detour,,running
8,254,39,-0.02082566529512405,detour,,running
8,255,40,-0.014635588079690925,detour,,running
8,256,41,-0.009037412554025646,detour,,running
8,257,42,-0.004958688318729393,detour,,running
8,258,43,0.003935224711894995,detour,,running
8,259,44,0.012244292497634889,detour,,running
8,260,45,0.02014667071402073,detour,,running
8,261,46,0.027796484306454657,detour,,running
8,262,47,0.035271198265254496,detour,,running
8,263,48,0.04164847010746598,detour,,running
8,264,49,0.03737731739878655,detour,,running
8,265,50,0.023462642878294,detour,,running
8,266,51,0.020109312757849697,detour,,running
8,267,52,0.0245515999943018,detour,,running
8,268,53,0.02890811949968338,detour,,running
8,269,54,0.03293517246842385,detour,,running
8,270,55,0.03533341024070979,detour,,running
8,271,56,0.03195307344198227,detour,,running
8,272,57,0.022010392844676978,detour,,running
8,273,58,0.023718953840434556,detour,,running
8,274,59,0.02073836788535119,detour,,running
8,275,60,0.012525532916188242,detour,,running
8,276,61,0.015511437654495239,detour,,running
8,277,62,0.013371620476245884,detour,,running
8,278,63,0.006013609990477564,detour,,running
8,279,64,-0.004927918165922161,detour,,running
8,280,65,-0.0031476637721061657,detour,,running
8,281,66,-0.000295939520001412,detour,,running
8,282,67,0.0020384234935045334,detour,,running
8,283,68,0.003667440786957743,detour,,running
8,284,69,0.004354006946086883,detour,,running
8,285,70,0.0073994958400726354,detour,,running
8,286,71,0.009009447842836388,detour,,running
8,287,72,120.0,detour,interceptor,intercepted_before_small_circle
9,288,1,-0.4101769423484802,detour,,running
9,289,2,-0.3989918804168701,detour,,running
9,290,3,-0.38801601290702814,detour,,running
9,291,4,-0.3772653138637542,detour,,running
9,292,5,-0.36675687193870543,detour,,running
9,293,6,-0.356509051322937,detour,,running
9,294,7,-0.3465415096282959,detour,,running
9,295,8,-0.3368754065036773,detour,,running
9,296,9,-0.32753313541412354,detour,,running
9,297,10,-0.31610274076461786,detour,,running
9,298,11,-0.3046730613708496,detour,,running
9,299,12,-0.2932456409931183,detour,,running
9,300,13,-0.28182223498821257,detour,,running
9,301,14,-0.2704049205780029,detour,,running
9,302,15,-0.2589959955215454,detour,,running
9,303,16,-0.24759821653366088,detour,,running
9,304,17,-0.23621474564075468,detour,,running
9,305,18,-0.22484921872615815,detour,,running
9,306,19,-0.2135058975219727,detour,,running
9,307,20,-0.2021898156404495,detour,,running
9,308,21,-0.19090690970420837,detour,,running
9,309,22,-0.17966423392295838,detour,,running
9,310,23,-0.16847011506557463,detour,,running
9,311,24,-0.15733471274375915,detour,,running
9,312,25,-0.14627026379108427,detour,,running
9,313,26,-0.13529167532920838,detour,,running
9,314,27,-0.12441738307476044,detour,,running
9,315,28,-0.11367016047239303,detour,,running
9,316,29,-0.10307869970798492,detour,,running
9,317,30,-0.09267924934625624,detour,,running
9,318,31,-0.08251812517642974,detour,,running
9,319,32,-0.07266088634729384,detour,,running
9,320,33,-0.0628682768344879,attack,,running
9,321,34,-0.053954391777515404,attack,,running
9,322,35,-0.046092572659254066,attack,,running
9,323,36,-0.039464732855558377,attack,,running
9,324,37,-0.03423397526144979,attack,,running
9,325,38,-0.030504219084978093,attack,,running
9,326,39,-0.028280903995037063,attack,,running
9,327,40,-0.027456475645303714,attack,,running
9,328,41,-0.027834502458572385,attack,,running
9,329,42,-0.029179245084524144,attack,,running
9,330,43,-0.03126293554902075,attack,,running
9,331,44,-0.033893126845359785,attack,,running
9,332,45,-0.022883085012435904,attack,,running
9,333,46,-0.013404025733470909,attack,,running
9,334,47,-0.0059969386458396876,attack,,running
9,335,48,-0.0011325894296169217,attack,,running
9,336,49,0.0010868014395237005,attack,,running
9,337,50,0.0010536660999059672,attack,,running
9,338,51,-0.0005917085707187603,attack,,running
9,339,52,-0.00327370598912239,attack,,running
9,340,53,-0.006594428271055212,attack,,running
9,341,54,-0.01030816867947578,attack,,running
9,342,55,-0.01426813587546348,attack,,running
