episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
21,203,7,99.0,93.0,chase_x,chase_x,True,2,4,False,6.391334977462514,8.0
22,204,1,-1.0,-1.0,chase_x,chase_x,True,2,4,False,7.29154095021503,8.0
22,205,2,99.0,98.0,chase_x,chase_y,False,2,2,True,8.0,3.959997386219304
23,206,1,-1.0,-1.0,chase_x,chase_y,False,4,2,False,8.0,3.8799972742403734
23,207,2,-1.0,-2.0,chase_x,chase_y,False,4,4,False,8.0,4.799996735527123
23,208,3,-1.0,-3.0,chase_x,chase_y,False,4,2,False,8.0,4.719996453655238
23,209,4,-1.0,-4.0,chase_x,chase_y,False,4,4,False,8.0,5.6388987382368905
23,210,5,-1.0,-5.0,chase_x,chase_y,False,4,2,False,7.832597022536456,6.514615895549171
23,211,6,-1.0,-6.0,chase_x,chase_y,False,2,2,False,7.672729277820732,7.434124488248075
23,212,7,-1.0,-7.0,chase_x,chase_x,True,2,2,True,3.756755416671279,8.0
23,213,8,-1.0,-8.0,chase_x,chase_x,True,1,2,False,4.656760391004884,8.0
23,214,9,-1.0,-9.0,chase_x,chase_x,True,1,4,False,5.200112554517772,8.0
23,215,10,-1.0,-10.0,chase_x,chase_x,True,3,2,False,5.049317704382414,8.0
23,216,11,-1.0,-11.0,chase_x,chase_x,True,1,2,False,5.969289134922574,8.0
23,217,12,-1.0,-12.0,chase_x,chase_x,True,3,4,False,6.802134421291877,8.0
23,218,13,-1.0,-13.0,chase_x,chase_x,True,1,0,False,7.649984929102158,8.0
23,219,14,-1.0,-14.0,chase_x,chase_x,True,1,4,True,4.0,8.0
23,220,15,-1.0,-15.0,chase_x,chase_x,True,1,3,False,4.790557411627834,8.0
23,221,16,-1.0,-16.0,chase_x,chase_x,True,3,0,False,5.6220647655190055,8.0
23,222,17,99.0,83.0,chase_x,chase_x,True,1,4,False,5.508710350478569,8.0
24,223,1,-1.0,-1.0,chase_x,chase_x,True,3,3,False,5.428336725992128,7.919999995273057
24,224,2,-1.0,-2.0,chase_x,chase_x,True,3,3,False,6.339343983773079,7.839979077775976
24,225,3,-1.0,-3.0,chase_x,chase_x,True,3,1,False,6.960333956156612,8.0
24,226,4,-1.0,-4.0,chase_x,chase_x,True,1,3,False,7.873808002069643,7.9181553898865396
24,227,5,-1.0,-5.0,chase_x,chase_x,True,1,1,True,4.0,8.0
24,228,6,99.0,94.0,chase_x,chase_x,True,3,3,False,4.618141117074688,7.919750595496196
25,229,1,-1.0,-1.0,chase_x,chase_x,True,4,3,False,4.473948185287212,8.0
