episode,opsdemo_reward,baseline_reward
967,81.0,93.0
968,90.0,94.0
969,92.0,94.0
970,94.0,88.0
971,93.0,89.0
972,94.0,96.0
973,94.0,96.0
974,87.0,93.0
975,71.0,90.0
976,-61.0,91.0
977,78.0,91.0
978,86.0,89.0
979,96.0,89.0
980,90.0,94.0
981,96.0,93.0
982,88.0,85.0
983,93.0,84.0
984,92.0,97.0
985,97.0,90.0
986,89.0,97.0
987,88.0,93.0
988,96.0,94.0
989,90.0,90.0
990,94.0,91.0
991,95.0,95.0
992,98.0,89.0
993,93.0,96.0
994,90.0,89.0
995,78.0,93.0
996,95.0,86.0
997,69.0,93.0
998,93.0,92.0
999,90.0,98.0
