episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
15,127,6,-1.0,-6.0,chase_y,chase_y,True,chase_y,True,0,3,False,8.0,3.8499063033410197
15,128,7,-1.0,-7.0,chase_y,chase_y,True,chase_y,True,4,1,False,8.0,3.8096598299942914
15,129,8,99.0,92.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,3.76926356763923
16,130,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,1,2,False,8.0,3.729263558606837
16,131,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,1,2,False,8.0,3.6892635556725675
16,132,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,3,2,False,8.0,3.6492635451216393
16,133,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,4,2,False,8.0,3.6092632057970784
16,134,5,99.0,95.0,chase_y,chase_y,True,chase_y,True,1,2,False,8.0,3.5683879061922728
17,135,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,2,4,False,8.0,3.5265589271422746
17,136,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,2,3,False,8.0,3.4670556370037833
17,137,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,2,3,False,8.0,3.406244532583045
17,138,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,2,2,False,7.959999993745084,3.357609776057601
17,139,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,2,1,False,8.0,3.2962028376668506
17,140,6,-1.0,-6.0,chase_y,chase_y,True,chase_y,True,3,0,False,8.0,3.213735540289776
17,141,7,-1.0,-7.0,chase_y,chase_y,True,chase_y,True,3,0,False,8.0,3.130636313228554
17,142,8,-1.0,-8.0,chase_y,chase_y,True,chase_y,True,2,4,False,8.0,3.089005064823987
17,143,9,99.0,91.0,chase_y,chase_y,True,chase_y,True,3,2,False,7.932207799462438,3.041332375698681
18,144,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,3.0008475990963697
18,145,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,2.960739557430845
18,146,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,2.9206430217337993
18,147,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,2.8806275592227624
18,148,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,2.840220504053524
18,149,6,-1.0,-6.0,chase_y,chase_y,True,chase_y,True,1,1,False,7.95999999845502,2.697637017300054
